Company_Name,Description,No_Of_Emp,Per_Hour_Cost,Project_Cost,Country
Polestar Solutions,"Polestar Solutions enable enterprises in their digital transformation journey by offering Consulting & Implementation Services related to Data, Analytics & Cloud Infrastructure. Our team comprises of BAs, Consultants, Project Managers and Delivery Heads with a Big-4 background. Our experts help you plan, execute and setup processes to accomplish the intended business outcomes. We have delivered…",51 to 250,$26 - $50,$10001 - $25000,India
PerceptionBox,"PerceptionBox is a top-notch, full cycle and client-focused development service provider. From full-service developments to a la carte services, we guide and help our clients to launch the most scalable digital products. We always act as your partner and safely guide you through the thorns of the world of technologies & software up to the skies of business success. With the astonishing design, amazing development, agile management and great quality assurance we do our best to skyrocket business of our partners with blazing custom software development…",51 to 250,$26 - $50,$10001 - $25000,Israel
Adoriasoft,"We develop software products for startups and mid-size businesses. Building software from scratch, we always look at it through the end- user’s eyes making it as intuitive and functional as possible. Our partners can rely on Adoriasoft as our team knows perfectly and follows all the product development phases. We know how new products are entering markets, whether the goal is to pitch investors or release the MVP. In creating software, we also follow the latest technology trends and monitor the product market to know what today’s business…",11 to 50,$51 - $100,$10001 - $25000,USA
Emorphis Technologies,"Emorphis Technologies has a global specialization in meeting the specific needs of Independent Software Vendors (ISVs) worldwide. Emorphis Technologies offers comprehensive software product/application engineering services to software-enabled organizations and companies engaged in embedded software development. Our clients partner with us to achieve their business goals, by relying on our commitment to drive real business results and our proven ability to deliver high-quality services and support throughout the product life-cycle. Emorphis Technologies…",51 to 250,$26 - $50,Less than - $5000,USA
ITRex Group,"ITRex is a software development company specializing in providing emerging technology solutions for companies all over the world. Since 2009 the company has created more than 500 solutions for large enterprises and middle-market companies from different industries - from retail and entertainment to healthcare and education. Among the company's clients are Honest Co, JibJab, DogVacay, Procter & Gamble, Dun & Bradstreet,  Dollar Shave Club, and others. ITRex has in-depth expertise in emerging technologies, including Big Data,…",251 to 1000,$26 - $50,$50001 - $100000,"USA, Ukraine"
Guavus,"We at Guavus have always been at the forefront of streaming big data analytics innovation since our inception in the year 2006. We provide big data analytics applications for systems planning and operations, mobile traffic analytics, marketing, customer care, security and IoT. Our analytics platform enables customers to gain a competitive edge by helping them put all their data to work to uncover new insights and make better quality and timely decisions. By enabling service providers, enterprises and governments to analyze data the instant it’s…",251 to 1000,$201 - $300,$100001 - $200000,USA
ThirdEye Data,"ThirdEye Data leverages Artificial Intelligence & Big Data technologies to build AI applications for enterprises worldwide. ThirdEye is a Silicon Valley-based one-stop-shop for Data Sciences, Analytics & Engineering services & products ThirdEye has a decade of experience in building end-to-end technical solutions for Fortune 500 companies and start-ups as well. ThirdEye's services help organizations transform knowledge into strategic & tactical insights for informed & timely business decisions. Data Sciences - ThirdEye implements…",51 to 250,$51 - $100,$25001 - $50000,USA
Sigma Data Systems,"Sigma Data Systems, one of the best Data Science service providers based in the USA with a development center in India. Sigma deals in all the data-centric problems and provides solutions using various tools and technologies like Elasticsearch, Apache Spark, Kibana, Logstash, Hadoop, Apache Storm, Apache Kafka, TensorFlow, Tableau, Power BI, and R programming.   Sigma has global experience in working with startups as well as big corporations. We have a dedicated team of software engineers, big data developers, data scientists, business analysts,…",51 to 250,Up to $25,$10001 - $25000,"USA, India"
Indium Software,"Indium Software is a leading provider of Digital Engineering solutions with deep expertise in Application Engineering, Cloud Engineering, Data and Analytics, DevOps, Digital Assurance and Gaming. Over the past decade, Indium has built strong relationships with over 100 clients-spanning ISVs, Global 2000 as well as born-digital companies-across North America, India, Europe and the Asia-Pacific region as well as with ecosystem partners such as AWS, Mendix, Striim and Denodo. With over 2000 associates spread across multiple delivery locations in India…",251 to 1000,$26 - $50,$50001 - $100000,USA
Clairvoyant,"Clairvoyant is a global technology consulting and services leader that helps organizations in their business transformation by maximizing the value of data through actionable insights. The company provides data engineering, analytics, machine learning, product engineering, and Cloud-based solutions to some of the world’s largest brands. Founded in 2012, Clairvoyant is headquartered in Phoenix,…",251 to 1000,$26 - $50,$50001 - $100000,USA
Unicsoft,"Unicsoft provides professional software development services for sustainable growth of SME and Start-ups worldwide, since 2005. With a team of 100+ expert and certified developers, we've delivered more than 200 projects incorporating website, and mobile app development, blockchain, AI, and IoT. We deliver our day-to-day services with transparency, clarity, and most importantly — care for our customers. Our goal is to make your IT solution technologically perfect to fit the market ASAP and bring positive business results. Unicsoft offers…",51 to 250,$51 - $100,$10001 - $25000,UK
Affirma,"Affirma is an award-winning full-service technology consulting service provider of Washington. The journey has begun during 2001 and still, we are the best and a pioneering agency. We are specialized in Mobile App, Cloud, Business Intelligence (BI), SharePoint, Technology Infrastructure, Custom Development, Visual Design, and Staffing Services. Having the full essence of the IT field, we have delivered 235+ projects in 2014 and 2015. Out of which 230 project customers surveyed responded that they were “Likely” or “Very Likely”…",51 to 250,$101 - $150,$10001 - $25000,USA
Intellectyx Inc,"Intellectyx, Inc. is a next-generation technology company offering cutting-edge solutions in Data, Generative AI, and Digital for diverse enterprises, governments, and non-profit organizations worldwide. Based in Denver, USA, with offshore development centers in India, our mission revolves around ""Doing the Right Thing Right."" We prioritize long-term perspectives, ensuring our solutions are adaptable and extensible, empowering businesses with a competitive advantage.",51 to 250,$51 - $100,$10001 - $25000,USA
RWaltz Software Group,"RWaltz Software Group is a leading provider of Blockchain Application Development Services headquartered in Atlanta, GA-USA serving globally.RWaltz's Unique Selling Proposition(USP) is a super-fast adoption of the Trending Technologies, building certified partnerships, bring in innovation and deliver state-of-the-art technology solutions to various industries.We are a Cloudera-Certified BigData & Hadoop professionals developing Data Science & Analytics to fortune 100 Telecom Companies.    We build Artificial Intelligence, Machine Learning, Deep…",51 to 250,$51 - $100,$5001 - $10000,"USA, India, Uganda"
Itransition,Itransition is a globally acclaimed software development company with a vast experience of more than 20 years. It delivers a full spectrum of software consulting and development services to clients from more than 40 countries across the globe ranging from SMBs to Fortune 500 enterprises. The resource pool counts of more than 3000 professionals with strong technology skills and business knowledge.…,1000+,$26 - $50,$10001 - $25000,USA
Oxagile,"Your go-to software development partner you can rely on. Since 2005, Oxagile has been by your side, fueling your project ambitions. With almost two decades of experience, we’ve delighted over 450 clients across 40+ US and EU countries with custom software solutions and development services. At Oxagile, we don’t just offer expertise; we embody it. Our team covers the entire software development cycle, from thorough audits and all-round consulting to designing the solution architecture, development per se, quality assurance services,…",51 to 250,$51 - $100,$50001 - $100000,USA
Alem Research,Successfully Developing Unique Technologies And Solutions For More Than 12 Years. Our company ALEM RESEARCH specializes in AI and Big Data processing. We have shipped and integrated many successful solutions of practical problems for private companies and government institutions. All of our solutions carry two of our core values - constantly improving quality of services and increasing levels of trust from end point consumers. ALEM RESEARCH is one of the leaders in the IT segment of Kazakhstan. We take huge-scale projects and deliver high-quality…,11 to 50,$26 - $50,$5001 - $10000,Kazakhstan
